title,url,snippet,site,time_range,found_date
单机策略游戏,https://dl.3dmgame.com/yxbox_7_1_time_cn/,16 hours ago — 类型：策略游戏; 1; 语言：简中; 评分：5.9; 发布：2024-11-24; 平台：pc; 标签： 战争 历史 回合制 战棋 军事. 游戏下载(18.81GB). 《命运猎人》简体中文免安装版.,3dmgame.com,24h,2024-11-24 20:39:23
单机策略游戏,https://dl.3dmgame.com/yxbox_7_1_time/,16 hours ago — 《命运猎人》简体中文免安装版 · 评分：7.8 · 标签： 回合制 探险 卡牌 独立 ; 《大战略：Perfect》简体中文免安装版 · 评分：9.8 · 标签： 战争 写实 科幻 ; 《星尘战线》Demo试玩版.,3dmgame.com,24h,2024-11-24 20:39:23
角色扮演单机游戏,https://dl.3dmgame.com/yxbox_2_1_time_cn/,24 hours ago — 《司美空》简体中文免安装版 · 评分：7.6 · 标签： 文字 剧情 独立 ; 《蓝龙》繁体中文GOD版XBOX360版 · 评分：7.2 · 标签： 魔幻 解谜 剧情 ; 《巴雅前奏曲》 简体中文免安装版.,3dmgame.com,24h,2024-11-24 20:39:23
单机策略游戏,https://dl.3dmgame.com/yxbox_7_2_time/,16 hours ago — 《术士2：放逐》简体中文免安装版 · 评分：9.9 · 标签： 回合制 战棋 ; 《中世纪战场》简体中文免安装版 · 评分：7.2 · 标签： 战争 历史 ; 《猎杀潜航2》简体中文免安装版 · 评分：7.2 ...,3dmgame.com,24h,2024-11-24 20:39:23
角色扮演单机游戏,https://dl.3dmgame.com/yxbox_2_3_time/,24 hours ago — 类型：角色扮演; 1; 语言：简中; 评分：7.6; 发布：2024-11-23; 平台：pc; 标签： 文字 剧情 独立 勇者斗恶龙系列游戏汇总. 游戏下载(75.96MB).,3dmgame.com,24h,2024-11-24 20:39:23
单机游戏_单机游戏下载_单机游戏大全中文版下载_3DM游戏网,https://www.3dmgame.com/,5 hours ago — 3DM游戏网为玩家提供最新的游戏新闻、攻略、单机游戏资源、汉化资源、游戏补丁、游戏论坛等，经过多年努力已成为游戏玩家首要选择的游戏资讯、游戏资源网站。,3dmgame.com,24h,2024-11-24 20:39:23
刺桐音乐下载,https://app.3dmgame.com/zt/206710_game/,22 hours ago — 刺桐音乐下载栏目提供了最全的刺桐音乐版本内容，喜欢这款软件的用户，可以下载最新的官方版本，还能够找到相同类型的APP，保证每一位来到这里的玩家都能够找到感兴趣软件 ...,3dmgame.com,24h,2024-11-24 20:39:23
角色扮演单机游戏,https://dl.3dmgame.com/yxbox_2_333_-time/,16 hours ago — 类型：角色扮演; 1; 语言：简中; 评分：8.0; 发布：2024-11-23; 平台：pc; 标签： 回合制 小说改 经典. 游戏下载(151.62MB). 《创世纪4+5+6》英文硬盘版.,3dmgame.com,24h,2024-11-24 20:39:23
手机换机克隆下载,https://app.3dmgame.com/zt/207208_game/,19 hours ago — 手机换机克隆下载栏目提供了最全的手机换机克隆版本内容，喜欢这款软件的用户，可以下载最新的官方版本，还能够找到相同类型的APP，保证每一位来到这里的玩家都能够找到感 ...,3dmgame.com,24h,2024-11-24 20:39:23
战车撞僵尸地牢下载,https://app.3dmgame.com/zt/205096_game/,22 hours ago — 战车撞僵尸地牢下载栏目提供了最全的战车撞僵尸地牢版本内容，喜欢这款游戏的玩家，可以下载最新的官方版本，还能够找到相同类型的游戏，保证每一位来到这里的玩家都能够 ...,3dmgame.com,24h,2024-11-24 20:39:23
角色扮演单机游戏,https://dl.3dmgame.com/yxbox_2_190_-time_cn/,16 hours ago — 类型：角色扮演 · 1 · 语言：简中 · 评分：9.2 · 发布：2024-11-23 · 平台：pc · 标签： 奇幻 Roguelike 暗黑.,3dmgame.com,24h,2024-11-24 20:39:23
起飞云游戏下载,https://app.3dmgame.com/zt/207110_game,19 hours ago — 起飞云游戏下载栏目提供了最全的起飞云游戏版本内容，喜欢这款软件的用户，可以下载最新的官方版本，还能够找到相同类型的APP，保证每一位来到这里的玩家都能够找到感兴趣 ...,3dmgame.com,24h,2024-11-24 20:39:23
VC浏览器下载,https://app.3dmgame.com/zt/206442_game/,20 hours ago — VC浏览器下载栏目提供了最全的VC浏览器版本内容，喜欢这款软件的用户，可以下载最新的官方版本，还能够找到相同类型的APP，保证每一位来到这里的玩家都能够找到感兴趣软件 ...,3dmgame.com,24h,2024-11-24 20:39:23
